State,Personal_Income_Millions,Population
AL,276925.6,5108468.0
AR,176809.1,3067732.0
AZ,464774.9,7431344.0
CA,3166135.4,38965193.0
CO,470605.9,5877610.0
CT,325345.8,3617176.0
DC,72525.3,678972.0
DE,68981.6,1031890.0
FL,1553426.4,22610726.0
GA,660447.5,11029227.0
IA,201332.8,3207004.0
ID,116675.3,1964726.0
IL,906647.6,12549689.0
IN,420259.7,6862199.0
KS,194413.5,2940546.0
KY,250569.1,4526154.0
LA,269140.2,4573749.0
MA,634296.1,7001399.0
MD,465936.8,6180253.0
ME,90868.2,1395722.0
MI,613719.2,10037261.0
MN,416324.5,5737915.0
MO,387904.7,6196156.0
MS,145961.8,2939690.0
MT,73620.0,1132812.0
NC,670051.1,10835491.0
ND,56475.1,783926.0
NE,141151.0,1978379.0
NH,110683.7,1402054.0
NJ,762802.9,9290841.0
NM,117016.3,2114371.0
NV,211575.4,3194176.0
NY,1611169.3,19571216.0
OH,724778.8,11785935.0
OK,245439.2,4053824.0
OR,287182.5,4233358.0
PA,893649.2,12961683.0
RI,74045.8,1095962.0
SC,308077.8,5373555.0
SD,66619.5,919318.0
TN,443472.0,7126489.0
TX,2020899.0,30503301.0
UT,219331.6,3417734.0
VA,643578.6,8715698.0
VT,43335.9,647464.0
WA,632296.0,7812880.0
WI,384068.2,5910955.0
WV,93504.9,1770071.0
WY,47927.8,584057.0
